risk_band,proxy_train_count,proxy_train_pct,proxy_oot_count,proxy_oot_pct,pct_point_shift,etl_batch_id,source_asset_id,source_sha256,loaded_at
DEFAULT RISK,7448,0.1862,1898,0.1898,0.0036,a4610f7b291b4283aabbcacd4adb76fd,e26cd60bae25b03f74f0ce4e9fb75c5f,e7be3728b2f447479b1389044e93eaeecf3ea1560d6e9b870bf6f7f7776d9554,2026-06-19 19:12:34.587436+05:30
HIGH RISK,4601,0.115025,1098,0.1098,-0.005225,a4610f7b291b4283aabbcacd4adb76fd,e26cd60bae25b03f74f0ce4e9fb75c5f,e7be3728b2f447479b1389044e93eaeecf3ea1560d6e9b870bf6f7f7776d9554,2026-06-19 19:12:34.587436+05:30
MODERATE RISK,4789,0.119725,1220,0.122,0.002275,a4610f7b291b4283aabbcacd4adb76fd,e26cd60bae25b03f74f0ce4e9fb75c5f,e7be3728b2f447479b1389044e93eaeecf3ea1560d6e9b870bf6f7f7776d9554,2026-06-19 19:12:34.587436+05:30
NEAR PRIME,6374,0.15935,1503,0.1503,-0.00905,a4610f7b291b4283aabbcacd4adb76fd,e26cd60bae25b03f74f0ce4e9fb75c5f,e7be3728b2f447479b1389044e93eaeecf3ea1560d6e9b870bf6f7f7776d9554,2026-06-19 19:12:34.587436+05:30
PRIME,16788,0.4197,4281,0.4281,0.0084,a4610f7b291b4283aabbcacd4adb76fd,e26cd60bae25b03f74f0ce4e9fb75c5f,e7be3728b2f447479b1389044e93eaeecf3ea1560d6e9b870bf6f7f7776d9554,2026-06-19 19:12:34.587436+05:30
