metric,n,missing,mean,median,minimum,maximum,std_dev,p1,p5,p25,p75,p95,p99,sum
pd,50000,0,0.23478296814000016,0.09948,0.000862,0.989547,0.2934780980076027,0.00220495,0.00400595,0.010308,0.41636325,0.9394464499999999,0.9716703600000001,11739.148407000008
lgd,50000,0,0.5471661901199958,0.4836205,0.11164,0.960808,0.24942615146425107,0.16234386999999997,0.20956080000000002,0.344728,0.772209,0.95027,0.9518562,27358.309505999787
ead,50000,0,16758.92520920004,11362.385,1414.69,58516.16,15212.90870925202,1645.39,1775.537,4231.9225,26918.124999999996,48372.59799999994,57115.36350000001,837946260.460002
credit_score,50000,0,720.87076,795.0,306.0,850.0,161.41330175082132,316.0,333.0,621.0,844.0,848.0,849.0,36043538.0
current_credit_loss_proxy,50000,0,7210.876384782973,570.0758110728241,0.2467759212308,54232.112208433304,13052.743737294877,0.873127218087456,2.4378697134435474,13.009164440109823,9523.989041321762,42019.95122145348,51613.758922166475,360543819.2391487
