model_name,model_role,auc,accuracy,precision,recall,f1_score,ks_statistic,brier_score,classification_threshold
Logistic Regression,Challenger,0.909082,0.864,0.76944,0.601872,0.675418,0.658498,0.095236,0.5
Random Forest,Challenger,0.908391,0.8604,0.744246,0.618886,0.675801,0.656136,0.095666,0.5
LightGBM,Challenger,0.906865,0.8582,0.746434,0.601021,0.665881,0.650967,0.096578,0.5
Current VotingClassifier (Champion),Champion,0.906795,0.8593,0.751331,0.60017,0.667297,0.653167,0.096455,0.5
XGBoost,Challenger,0.905931,0.8596,0.750927,0.602722,0.668712,0.652736,0.096845,0.5
