date,adj_close_^vix,close_^vix,high_^vix,low_^vix,open_^vix,volume_^vix,returns,rolling_volatility
2015-01-02,17.79,17.79,17.79,17.79,17.79,0,,
2015-01-05,19.92,19.92,19.92,19.92,19.92,0,0.11973018549747061,
2015-01-06,21.12,21.12,21.12,21.12,21.12,0,0.06024096385542155,
2015-01-07,19.31,19.31,19.31,19.31,19.31,0,-0.08570075757575768,
2015-01-08,17.01,17.01,17.01,17.01,17.01,0,-0.11910926980838932,
2015-01-09,17.55,17.55,17.55,17.55,17.55,0,0.03174603174603163,
2015-01-12,19.6,19.6,19.6,19.6,19.6,0,0.11680911680911676,
2015-01-13,20.56,20.56,20.56,20.56,20.56,0,0.048979591836734615,
2015-01-14,21.48,21.48,21.48,21.48,21.48,0,0.04474708171206232,
2015-01-15,22.39,22.39,22.39,22.39,22.39,0,0.042364990689013116,
2015-01-16,20.95,20.95,20.95,20.95,20.95,0,-0.0643144260830728,
2015-01-20,19.89,19.89,19.89,19.89,19.89,0,-0.0505966587112171,
2015-01-21,18.85,18.85,18.85,18.85,18.85,0,-0.05228758169934633,
2015-01-22,16.4,16.4,16.4,16.4,16.4,0,-0.12997347480106114,
2015-01-23,16.66,16.66,16.66,16.66,16.66,0,0.01585365853658538,
2015-01-26,15.52,15.52,15.52,15.52,15.52,0,-0.06842737094837936,
2015-01-27,17.22,17.22,17.22,17.22,17.22,0,0.10953608247422686,
2015-01-28,20.44,20.44,20.44,20.44,20.44,0,0.18699186991869943,
2015-01-29,18.76,18.76,18.76,18.76,18.76,0,-0.0821917808219178,
2015-01-30,20.97,20.97,20.97,20.97,20.97,0,0.11780383795309146,
2015-02-02,19.43,19.43,19.43,19.43,19.43,0,-0.07343824511206487,
2015-02-03,17.33,17.33,17.33,17.33,17.33,0,-0.10808028821410198,
2015-02-04,18.33,18.33,18.33,18.33,18.33,0,0.05770340450086553,
2015-02-05,16.85,16.85,16.85,16.85,16.85,0,-0.08074195308237841,
2015-02-06,17.29,17.29,17.29,17.29,17.29,0,0.026112759643916794,
2015-02-09,18.55,18.55,18.55,18.55,18.55,0,0.07287449392712553,
2015-02-10,17.23,17.23,17.23,17.23,17.23,0,-0.07115902964959575,
2015-02-11,16.96,16.96,16.96,16.96,16.96,0,-0.015670342426001183,
