date,adj_close_^vix,close_^vix,high_^vix,low_^vix,open_^vix,volume_^vix,returns,rolling_volatility
2015-02-12,15.34,15.34,15.34,15.34,15.34,0,-0.09551886792452835,
2015-02-13,14.69,14.69,14.69,14.69,14.69,0,-0.0423728813559322,
2015-02-17,15.8,15.8,15.8,15.8,15.8,0,0.07556160653505795,1.3638177959867754
2015-02-18,15.45,15.45,15.45,15.45,15.45,0,-0.022151898734177333,1.3163713437878686
2015-02-19,15.29,15.29,15.29,15.29,15.29,0,-0.01035598705501617,1.3017189925882262
2015-02-20,14.3,14.3,14.3,14.3,14.3,0,-0.06474820143884885,1.292162525590482
2015-02-23,14.56,14.56,14.56,14.56,14.56,0,0.018181818181818077,1.2490179682065319
2015-02-24,13.69,13.69,13.69,13.69,13.69,0,-0.059752747252747374,1.2555277733721002
2015-02-25,13.84,13.84,13.84,13.84,13.84,0,0.010956902848794803,1.2024466959570348
2015-02-26,13.91,13.91,13.91,13.91,13.91,0,0.005057803468208055,1.1907875058672157
2015-02-27,13.34,13.34,13.34,13.34,13.34,0,-0.040977713874910116,1.1822609620620674
2015-03-02,13.04,13.04,13.04,13.04,13.04,0,-0.022488755622188994,1.1706953309392714
2015-03-03,13.86,13.86,13.86,13.86,13.86,0,0.06288343558282206,1.182393066515816
2015-03-04,14.23,14.23,14.23,14.23,14.23,0,0.02669552669552666,1.1811475211953575
2015-03-05,14.04,14.04,14.04,14.04,14.04,0,-0.013352073085031724,1.1739650945777829
2015-03-06,15.2,15.2,15.2,15.2,15.2,0,0.0826210826210827,1.14198394581328
2015-03-09,15.06,15.06,15.06,15.06,15.06,0,-0.009210526315789447,1.141254062978925
2015-03-10,16.69,16.69,16.69,16.69,16.69,0,0.10823373173970796,1.1650576021598074
2015-03-11,16.87,16.87,16.87,16.87,16.87,0,0.010784901138406244,1.1224123916895046
2015-03-12,15.42,15.42,15.42,15.42,15.42,0,-0.08595139300533494,1.0032599563845785
2015-03-13,16.0,16.0,16.0,16.0,16.0,0,0.03761348897535677,0.9856063286254785
2015-03-16,15.61,15.61,15.61,15.61,15.61,0,-0.024375000000000036,0.9174204537041252
2015-03-17,15.66,15.66,15.66,15.66,15.66,0,0.0032030749519538215,0.896696083386782
2015-03-18,13.97,13.97,13.97,13.97,13.97,0,-0.10791826309067687,0.8965353052421388
2015-03-19,14.07,14.07,14.07,14.07,14.07,0,0.007158196134574135,0.8772799257582484
2015-03-20,13.02,13.02,13.02,13.02,13.02,0,-0.0746268656716419,0.8729996441502256
2015-03-23,13.41,13.41,13.41,13.41,13.41,0,0.02995391705069128,0.8743390666932859
2015-03-24,13.62,13.62,13.62,13.62,13.62,0,0.015659955257270708,0.844145241829973
2015-03-25,15.44,15.44,15.44,15.44,15.44,0,0.13362701908957408,0.9182382149934105
2015-03-26,15.8,15.8,15.8,15.8,15.8,0,0.023316062176165886,0.9201605117031977
2015-03-27,15.07,15.07,15.07,15.07,15.07,0,-0.046202531645569644,0.8865067511877223
2015-03-30,14.51,14.51,14.51,14.51,14.51,0,-0.03715992037159921,0.8844218427732474
2015-03-31,15.29,15.29,15.29,15.29,15.29,0,0.053756030323914405,0.8706135788370669
2015-04-01,15.11,15.11,15.11,15.11,15.11,0,-0.011772400261608862,0.8688004945389624
2015-04-02,14.67,14.67,14.67,14.67,14.67,0,-0.029119788219722054,0.8725681020883089
2015-04-06,14.74,14.74,14.74,14.74,14.74,0,0.0047716428084525475,0.850682495873793
2015-04-07,14.78,14.78,14.78,14.78,14.78,0,0.0027137042062415073,0.849366870664618
2015-04-08,13.98,13.98,13.98,13.98,13.98,0,-0.05412719891745599,0.8459699621924945
2015-04-09,13.09,13.09,13.09,13.09,13.09,0,-0.0636623748211731,0.8665423338722816
2015-04-10,12.58,12.58,12.58,12.58,12.58,0,-0.038961038961038974,0.8734837180188443
2015-04-13,13.94,13.94,13.94,13.94,13.94,0,0.10810810810810811,0.9210966163963441
2015-04-14,13.67,13.67,13.67,13.67,13.67,0,-0.01936872309899562,0.9203883524965756
2015-04-15,12.84,12.84,12.84,12.84,12.84,0,-0.0607168983174835,0.9204269991544162
2015-04-16,12.6,12.6,12.6,12.6,12.6,0,-0.01869158878504673,0.9179804521694489
2015-04-17,13.89,13.89,13.89,13.89,13.89,0,0.10238095238095246,0.966066225747171
2015-04-20,13.3,13.3,13.3,13.3,13.3,0,-0.042476601871850206,0.9424214497561129
2015-04-21,13.25,13.25,13.25,13.25,13.25,0,-0.003759398496240629,0.9422300742561782
2015-04-22,12.71,12.71,12.71,12.71,12.71,0,-0.04075471698113198,0.8873032851390464
2015-04-23,12.48,12.48,12.48,12.48,12.48,0,-0.018095987411487102,0.8860638456448726
2015-04-24,12.29,12.29,12.29,12.29,12.29,0,-0.015224358974359031,0.8555383840530284
2015-04-27,13.12,13.12,13.12,13.12,13.12,0,0.06753458096013021,0.8730566594604559
2015-04-28,12.41,12.41,12.41,12.41,12.41,0,-0.05411585365853655,0.8829434433944264
2015-04-29,13.39,13.39,13.39,13.39,13.39,0,0.0789685737308623,0.9165846301520776
2015-04-30,14.55,14.55,14.55,14.55,14.55,0,0.08663181478715454,0.8974634570897964
2015-05-01,12.7,12.7,12.7,12.7,12.7,0,-0.12714776632302416,0.9731000359207124
2015-05-04,12.85,12.85,12.85,12.85,12.85,0,0.011811023622047223,0.9486881800640636
2015-05-05,14.31,14.31,14.31,14.31,14.31,0,0.1136186770428016,1.000262867817019
2015-05-06,15.15,15.15,15.15,15.15,15.15,0,0.05870020964360578,1.0123091611827444
2015-05-07,15.13,15.13,15.13,15.13,15.13,0,-0.0013201320132012473,0.9365962042119567
2015-05-08,12.86,12.86,12.86,12.86,12.86,0,-0.15003304692663588,1.0307102636424161
2015-05-11,13.85,13.85,13.85,13.85,13.85,0,0.07698289269051317,1.0493677153265288
2015-05-12,13.86,13.86,13.86,13.86,13.86,0,0.0007220216606498298,1.0436535825131255
2015-05-13,13.76,13.76,13.76,13.76,13.76,0,-0.00721500721500723,1.0315477124663315
2015-05-14,12.74,12.74,12.74,12.74,12.74,0,-0.0741279069767442,1.0525842931776277
2015-05-15,12.38,12.38,12.38,12.38,12.38,0,-0.028257456828885363,1.052405088622657
2015-05-18,12.73,12.73,12.73,12.73,12.73,0,0.028271405492730217,1.0562078481628734
2015-05-19,12.85,12.85,12.85,12.85,12.85,0,0.00942655145325988,1.0566870446106045
2015-05-20,12.88,12.88,12.88,12.88,12.88,0,0.0023346303501945442,1.0453242534749294
2015-05-21,12.11,12.11,12.11,12.11,12.11,0,-0.05978260869565233,1.0433494483674282
2015-05-22,12.13,12.13,12.13,12.13,12.13,0,0.0016515276630884035,1.036955134961647
2015-05-26,14.06,14.06,14.06,14.06,14.06,0,0.15910964550700735,1.091869868127772
2015-05-27,13.27,13.27,13.27,13.27,13.27,0,-0.05618776671408254,1.103451237307791
2015-05-28,13.31,13.31,13.31,13.31,13.31,0,0.0030143180105501877,1.0876519467687649
2015-05-29,13.84,13.84,13.84,13.84,13.84,0,0.03981968444778361,1.0905106101130893
2015-06-01,13.97,13.97,13.97,13.97,13.97,0,0.009393063583815087,1.0512584656950905
2015-06-02,14.24,14.24,14.24,14.24,14.24,0,0.01932712956334992,1.0436078809563445
2015-06-03,13.66,13.66,13.66,13.66,13.66,0,-0.0407303370786517,1.0515828648893117
2015-06-04,14.71,14.71,14.71,14.71,14.71,0,0.0768667642752563,1.0640966747084921
2015-06-05,14.21,14.21,14.21,14.21,14.21,0,-0.03399048266485383,1.0683511535597099
2015-06-08,15.29,15.29,15.29,15.29,15.29,0,0.07600281491907102,1.0847965337264152
2015-06-09,14.47,14.47,14.47,14.47,14.47,0,-0.053629823413996025,1.0853827775639115
2015-06-10,13.22,13.22,13.22,13.22,13.22,0,-0.08638562543192807,1.104652883754098
2015-06-11,12.85,12.85,12.85,12.85,12.85,0,-0.027987897125567374,1.0852904619719528
2015-06-12,13.78,13.78,13.78,13.78,13.78,0,0.0723735408560311,1.0762517900142516
2015-06-15,15.39,15.39,15.39,15.39,15.39,0,0.11683599419448476,1.0570845730550629
2015-06-16,14.81,14.81,14.81,14.81,14.81,0,-0.037686809616634176,1.0654605102610086
2015-06-17,14.5,14.5,14.5,14.5,14.5,0,-0.020931802835921665,1.0186937477596392
2015-06-18,13.19,13.19,13.19,13.19,13.19,0,-0.09034482758620688,1.0385338230765644
2015-06-19,13.96,13.96,13.96,13.96,13.96,0,0.058377558756633974,1.053453287103251
2015-06-22,12.74,12.74,12.74,12.74,12.74,0,-0.08739255014326652,0.9899493566825179
2015-06-23,12.11,12.11,12.11,12.11,12.11,0,-0.0494505494505495,0.9738991646360677
2015-06-24,13.26,13.26,13.26,13.26,13.26,0,0.09496284062758065,1.0142308825903017
2015-06-25,14.01,14.01,14.01,14.01,14.01,0,0.0565610859728507,1.0268049720795347
2015-06-26,14.02,14.02,14.02,14.02,14.02,0,0.0007137758743753775,1.0008014908843752
2015-06-29,18.85,18.85,18.85,18.85,18.85,0,0.34450784593437955,1.397450737828011
2015-06-30,18.23,18.23,18.23,18.23,18.23,0,-0.03289124668435017,1.4045796483227406
2015-07-01,16.09,16.09,16.09,16.09,16.09,0,-0.11738891936368623,1.4564470555852043
2015-07-02,16.79,16.79,16.79,16.79,16.79,0,0.04350528278433807,1.4591461012737925
2015-07-06,17.01,17.01,17.01,17.01,17.01,0,0.013103037522334882,1.4429252907012826
2015-07-07,16.09,16.09,16.09,16.09,16.09,0,-0.05408583186360971,1.4563983098609408
2015-07-08,19.66,19.66,19.66,19.66,19.66,0,0.22187694220012433,1.5209792434717073
2015-07-09,19.97,19.97,19.97,19.97,19.97,0,0.01576805696846373,1.505824250800505
2015-07-10,16.83,16.83,16.83,16.83,16.83,0,-0.15723585378067106,1.5887219691296839
2015-07-13,13.9,13.9,13.9,13.9,13.9,0,-0.17409387997623282,1.6751749225555272
2015-07-14,13.37,13.37,13.37,13.37,13.37,0,-0.03812949640287777,1.6797967264369098
2015-07-15,13.23,13.23,13.23,13.23,13.23,0,-0.010471204188481575,1.6795947223421024
2015-07-16,12.11,12.11,12.11,12.11,12.11,0,-0.08465608465608476,1.694207875564168
2015-07-17,11.95,11.95,11.95,11.95,11.95,0,-0.013212221304706895,1.6792781124633824
2015-07-20,12.25,12.25,12.25,12.25,12.25,0,0.025104602510460206,1.6781824010003483
2015-07-21,12.22,12.22,12.22,12.22,12.22,0,-0.002448979591836653,1.6626904085114065
2015-07-22,12.12,12.12,12.12,12.12,12.12,0,-0.008183306055646544,1.655746896146453
2015-07-23,12.64,12.64,12.64,12.64,12.64,0,0.04290429042904309,1.640121597548223
2015-07-24,13.74,13.74,13.74,13.74,13.74,0,0.08702531645569622,1.654843710684822
2015-07-27,15.6,15.6,15.6,15.6,15.6,0,0.1353711790393013,1.6861898784433764
2015-07-28,13.44,13.44,13.44,13.44,13.44,0,-0.13846153846153852,1.7068831154201576
2015-07-29,12.5,12.5,12.5,12.5,12.5,0,-0.06994047619047616,1.7157325400554773
2015-07-30,12.13,12.13,12.13,12.13,12.13,0,-0.02959999999999996,1.7168211129884705
2015-07-31,12.12,12.12,12.12,12.12,12.12,0,-0.0008244023083265883,1.6956346579911767
2015-08-03,12.56,12.56,12.56,12.56,12.56,0,0.03630363036303641,1.690498877788093
2015-08-04,13.0,13.0,13.0,13.0,13.0,0,0.03503184713375784,1.6716010988954209
2015-08-05,12.51,12.51,12.51,12.51,12.51,0,-0.03769230769230769,1.6685733515196213
2015-08-06,13.77,13.77,13.77,13.77,13.77,0,0.1007194244604317,1.6713181325929938
2015-08-07,13.39,13.39,13.39,13.39,13.39,0,-0.027596223674654974,1.667121484323515
2015-08-10,12.23,12.23,12.23,12.23,12.23,0,-0.08663181478715465,1.6874864278771793
2015-08-11,13.71,13.71,13.71,13.71,13.71,0,0.12101390024529857,1.389729513262156
2015-08-12,13.61,13.61,13.61,13.61,13.61,0,-0.007293946024799491,1.38754166596311
2015-08-13,13.49,13.49,13.49,13.49,13.49,0,-0.00881704628949298,1.3468939724330902
2015-08-14,12.83,12.83,12.83,12.83,12.83,0,-0.048925129725722716,1.346166961596275
2015-08-17,13.02,13.02,13.02,13.02,13.02,0,0.014809041309431059,1.346380551395536
2015-08-18,13.79,13.79,13.79,13.79,13.79,0,0.05913978494623651,1.3507961124545513
2015-08-19,15.25,15.25,15.25,15.25,15.25,0,0.10587382160986225,1.219453966836461
2015-08-20,19.14,19.14,19.14,19.14,19.14,0,0.2550819672131148,1.434092911951962
2015-08-21,28.03,28.03,28.03,28.03,28.03,0,0.46447230929989547,1.8915011484876034
2015-08-24,40.74,40.74,40.74,40.74,40.74,0,0.4534427399215126,2.17578581855124
2015-08-25,36.02,36.02,36.02,36.02,36.02,0,-0.11585665193912609,2.2126658845103613
2015-08-26,30.32,30.32,30.32,30.32,30.32,0,-0.15824541921154922,2.283167657655003
2015-08-27,26.1,26.1,26.1,26.1,26.1,0,-0.1391820580474934,2.313596917542051
2015-08-28,26.05,26.05,26.05,26.05,26.05,0,-0.0019157088122605526,2.311791652600777
2015-08-31,28.43,28.43,28.43,28.43,28.43,0,0.09136276391554699,2.3172577547033417
2015-09-01,31.4,31.4,31.4,31.4,31.4,0,0.10446711220541682,2.3220089716279464
2015-09-02,26.09,26.09,26.09,26.09,26.09,0,-0.1691082802547771,2.3972094585725885
2015-09-03,25.61,25.61,25.61,25.61,25.61,0,-0.01839785358374857,2.402157367091466
2015-09-04,27.8,27.8,27.8,27.8,27.8,0,0.08551347130027342,2.4018687299299555
2015-09-08,24.9,24.9,24.9,24.9,24.9,0,-0.10431654676259006,2.413933881763596
2015-09-09,26.23,26.23,26.23,26.23,26.23,0,0.05341365461847403,2.364241940710668
2015-09-10,24.37,24.37,24.37,24.37,24.37,0,-0.07091117041555473,2.3646068436012504
2015-09-11,23.2,23.2,23.2,23.2,23.2,0,-0.04800984817398446,2.369361016517553
2015-09-14,24.25,24.25,24.25,24.25,24.25,0,0.04525862068965525,2.367707244366157
2015-09-15,22.54,22.54,22.54,22.54,22.54,0,-0.07051546391752583,2.386486613809246
2015-09-16,21.35,21.35,21.35,21.35,21.35,0,-0.052795031055900554,2.3981701604769246
2015-09-17,21.14,21.14,21.14,21.14,21.14,0,-0.00983606557377048,2.3930667615451746
2015-09-18,22.28,22.28,22.28,22.28,22.28,0,0.05392620624408706,2.3844031820764933
2015-09-21,20.14,20.14,20.14,20.14,20.14,0,-0.09605026929982052,2.4058436413316424
2015-09-22,22.44,22.44,22.44,22.44,22.44,0,0.11420059582919562,2.396447226360875
2015-09-23,22.13,22.13,22.13,22.13,22.13,0,-0.013814616755793319,2.383806827571845
2015-09-24,23.47,23.47,23.47,23.47,23.47,0,0.06055128784455488,2.38379006388698
2015-09-25,23.62,23.62,23.62,23.62,23.62,0,0.00639113762249699,2.3821655137639413
2015-09-28,27.63,27.63,27.63,27.63,27.63,0,0.1697713801862828,2.404749981534133
2015-09-29,26.83,26.83,26.83,26.83,26.83,0,-0.028954035468693462,2.4113775132376056
2015-09-30,24.5,24.5,24.5,24.5,24.5,0,-0.08684308609765179,2.435239514825442
2015-10-01,22.55,22.55,22.55,22.55,22.55,0,-0.07959183673469383,2.4438719596250396
2015-10-02,20.94,20.94,20.94,20.94,20.94,0,-0.0713968957871397,2.3562022379801313
2015-10-05,19.54,19.54,19.54,19.54,19.54,0,-0.06685768863419306,1.9357358964650166
2015-10-06,19.4,19.4,19.4,19.4,19.4,0,-0.007164790174002067,1.3621831408486424
2015-10-07,18.4,18.4,18.4,18.4,18.4,0,-0.05154639175257736,1.3356929768404382
2015-10-08,17.42,17.42,17.42,17.42,17.42,0,-0.05326086956521725,1.273587490207642
2015-10-09,17.08,17.08,17.08,17.08,17.08,0,-0.019517795637198798,1.2183755655497717
2015-10-12,16.17,16.17,16.17,16.17,16.17,0,-0.053278688524589946,1.224056134914037
2015-10-13,17.67,17.67,17.67,17.67,17.67,0,0.09276437847866426,1.2250999642687102
2015-10-14,18.03,18.03,18.03,18.03,18.03,0,0.02037351443123936,1.1784714252041895
2015-10-15,16.05,16.05,16.05,16.05,16.05,0,-0.10981697171381033,1.1225917196290094
2015-10-16,15.05,15.05,15.05,15.05,15.05,0,-0.06230529595015577,1.1313701425612543
2015-10-19,14.98,14.98,14.98,14.98,14.98,0,-0.0046511627906976605,1.0911194973901444
2015-10-20,15.75,15.75,15.75,15.75,15.75,0,0.051401869158878455,1.077525756692656
2015-10-21,16.7,16.7,16.7,16.7,16.7,0,0.060317460317460325,1.0814004430953517
2015-10-22,14.45,14.45,14.45,14.45,14.45,0,-0.1347305389221557,1.1261263582657661
2015-10-23,14.46,14.46,14.46,14.46,14.46,0,0.0006920415224913601,1.1225111201073268
2015-10-26,15.29,15.29,15.29,15.29,15.29,0,0.057399723374826905,1.1285448269476066
2015-10-27,15.43,15.43,15.43,15.43,15.43,0,0.00915631131458472,1.1167231292592845
2015-10-28,14.33,14.33,14.33,14.33,14.33,0,-0.07128969539857422,1.1241176968665056
2015-10-29,14.61,14.61,14.61,14.61,14.61,0,0.01953942777390094,1.1275551282545015
2015-10-30,15.07,15.07,15.07,15.07,15.07,0,0.031485284052019225,1.1183690990821409
2015-11-02,14.15,14.15,14.15,14.15,14.15,0,-0.06104844061048442,1.0995638770966472
2015-11-03,14.54,14.54,14.54,14.54,14.54,0,0.027561837455830407,1.042105599683296
2015-11-04,15.51,15.51,15.51,15.51,15.51,0,0.06671251719394777,1.0669205469255694
2015-11-05,15.05,15.05,15.05,15.05,15.05,0,-0.029658284977433835,1.0472286240884543
2015-11-06,14.33,14.33,14.33,14.33,14.33,0,-0.04784053156146184,1.0504678180040334
2015-11-09,16.52,16.52,16.52,16.52,16.52,0,0.15282623866015355,1.0255005609185537
2015-11-10,15.29,15.29,15.29,15.29,15.29,0,-0.07445520581113807,1.0392735645723326
2015-11-11,16.06,16.06,16.06,16.06,16.06,0,0.050359712230215736,1.0346428055380181
2015-11-12,18.37,18.37,18.37,18.37,18.37,0,0.1438356164383563,1.1077319598964184
2015-11-13,20.08,20.08,20.08,20.08,20.08,0,0.09308655416439837,1.1238507851098412
2015-11-16,18.16,18.16,18.16,18.16,18.16,0,-0.095617529880478,1.141887480944925
2015-11-17,18.84,18.84,18.84,18.84,18.84,0,0.037444933920704804,1.1467493658901342
2015-11-18,16.85,16.85,16.85,16.85,16.85,0,-0.1056263269639065,1.1787651785011515
2015-11-19,16.99,16.99,16.99,16.99,16.99,0,0.008308605341246222,1.1681735342350406
2015-11-20,15.47,15.47,15.47,15.47,15.47,0,-0.08946439081812818,1.1965023720592514
2015-11-23,15.62,15.62,15.62,15.62,15.62,0,0.009696186166774368,1.1862639360184997
2015-11-24,15.93,15.93,15.93,15.93,15.93,0,0.01984635083226638,1.1559803969331905
2015-11-25,15.19,15.19,15.19,15.19,15.19,0,-0.0464532328939109,1.1615150864501138
2015-11-27,15.12,15.12,15.12,15.12,15.12,0,-0.004608294930875556,1.1166853434244064
2015-11-30,16.13,16.13,16.13,16.13,16.13,0,0.06679894179894186,1.1163815925325342
2015-12-01,14.67,14.67,14.67,14.67,14.67,0,-0.09051456912585243,1.1498663405188903
2015-12-02,15.91,15.91,15.91,15.91,15.91,0,0.0845262440354464,1.1661653911877403
2015-12-03,18.11,18.11,18.11,18.11,18.11,0,0.13827781269641726,1.2201360620080446
2015-12-04,14.81,14.81,14.81,14.81,14.81,0,-0.18221976808393148,1.2741454814816704
2015-12-07,15.84,15.84,15.84,15.84,15.84,0,0.06954760297096563,1.2881625985823584
2015-12-08,17.6,17.6,17.6,17.6,17.6,0,0.11111111111111116,1.3158036281709757
2015-12-09,19.61,19.61,19.61,19.61,19.61,0,0.11420454545454528,1.3513196128046856
2015-12-10,19.34,19.34,19.34,19.34,19.34,0,-0.013768485466598701,1.3308075787585314
2015-12-11,24.39,24.39,24.39,24.39,24.39,0,0.2611168562564634,1.5122105849637952
2015-12-14,22.73,22.73,22.73,22.73,22.73,0,-0.06806068060680603,1.5338748565418647
2015-12-15,20.95,20.95,20.95,20.95,20.95,0,-0.07831060272767276,1.542416698635158
2015-12-16,17.86,17.86,17.86,17.86,17.86,0,-0.1474940334128878,1.6143802132283565
2015-12-17,18.94,18.94,18.94,18.94,18.94,0,0.06047032474804048,1.612635165262196
2015-12-18,20.7,20.7,20.7,20.7,20.7,0,0.09292502639915501,1.6244888518471887
2015-12-21,18.7,18.7,18.7,18.7,18.7,0,-0.09661835748792269,1.647053474512247
2015-12-22,16.6,16.6,16.6,16.6,16.6,0,-0.1122994652406416,1.6320983042502069
2015-12-23,15.57,15.57,15.57,15.57,15.57,0,-0.06204819277108442,1.6272252189432101
2015-12-24,15.74,15.74,15.74,15.74,15.74,0,0.010918432883750828,1.6218071160527723
2015-12-28,16.91,16.91,16.91,16.91,16.91,0,0.07433290978398976,1.5818627283959752
2015-12-29,16.08,16.08,16.08,16.08,16.08,0,-0.049083382613838045,1.56428079005556
2015-12-30,17.29,17.29,17.29,17.29,17.29,0,0.07524875621890548,1.5544957726534505
2015-12-31,18.21,18.21,18.21,18.21,18.21,0,0.05320994794679024,1.5582036449777532
2016-01-04,20.7,20.7,20.7,20.7,20.7,0,0.13673805601317945,1.569047342808337
2016-01-05,19.34,19.34,19.34,19.34,19.34,0,-0.06570048309178744,1.584954676403122
2016-01-06,20.59,20.59,20.59,20.59,20.59,0,0.06463288521199595,1.5644941654445197
2016-01-07,24.99,24.99,24.99,24.99,24.99,0,0.21369596891694997,1.6676924218556324
2016-01-08,27.01,27.01,27.01,27.01,27.01,0,0.08083233293317349,1.676664064954924
2016-01-11,24.3,24.3,24.3,24.3,24.3,0,-0.10033320992225103,1.7031346880151188
2016-01-12,22.47,22.47,22.47,22.47,22.47,0,-0.07530864197530873,1.7246533966936797
2016-01-13,25.22,25.22,25.22,25.22,25.22,0,0.1223854027592346,1.7454691752011036
2016-01-14,23.95,23.95,23.95,23.95,23.95,0,-0.05035685963521008,1.7270083386609918
2016-01-15,27.02,27.02,27.02,27.02,27.02,0,0.12818371607515666,1.7452632752167507
2016-01-19,26.05,26.05,26.05,26.05,26.05,0,-0.03589933382679489,1.718564223476294
2016-01-20,27.59,27.59,27.59,27.59,27.59,0,0.05911708253358916,1.6137050416419887
2016-01-21,26.69,26.69,26.69,26.69,26.69,0,-0.03262051467923155,1.6167903364154181
2016-01-22,22.34,22.34,22.34,22.34,22.34,0,-0.16298239040839269,1.6799928117983909
2016-01-25,24.15,24.15,24.15,24.15,24.15,0,0.08102059086839741,1.665351804615053
2016-01-26,22.5,22.5,22.5,22.5,22.5,0,-0.06832298136645953,1.6801645436381714
2016-01-27,23.11,23.11,23.11,23.11,23.11,0,0.027111111111111086,1.5043078072417375
2016-01-28,22.42,22.42,22.42,22.42,22.42,0,-0.02985720467330155,1.492764071010296
2016-01-29,20.2,20.2,20.2,20.2,20.2,0,-0.09901873327386268,1.5038260515406636
2016-02-01,19.98,19.98,19.98,19.98,19.98,0,-0.01089108910891079,1.4355240960017401
2016-02-02,21.98,21.98,21.98,21.98,21.98,0,0.10010010010010006,1.4526877104711247
2016-02-03,21.65,21.65,21.65,21.65,21.65,0,-0.0150136487716106,1.4320186640221686
2016-02-04,21.84,21.84,21.84,21.84,21.84,0,0.00877598152424941,1.3989888491639109
2016-02-05,23.38,23.38,23.38,23.38,23.38,0,0.07051282051282048,1.3612043830657123
2016-02-08,26.0,26.0,26.0,26.0,26.0,0,0.11206159110350722,1.3691014011055032
2016-02-09,26.54,26.54,26.54,26.54,26.54,0,0.02076923076923065,1.3687822900017694
2016-02-10,26.29,26.29,26.29,26.29,26.29,0,-0.009419743782969059,1.3619909838248936
2016-02-11,28.14,28.14,28.14,28.14,28.14,0,0.07036896158235084,1.3546030344419309
2016-02-12,25.4,25.4,25.4,25.4,25.4,0,-0.0973702914001422,1.3879498195095727
2016-02-16,24.11,24.11,24.11,24.11,24.11,0,-0.050787401574803104,1.3967785863407576
2016-02-17,22.31,22.31,22.31,22.31,22.31,0,-0.07465781833264207,1.3682343217687227
2016-02-18,21.64,21.64,21.64,21.64,21.64,0,-0.03003137606454498,1.3558332028266376
2016-02-19,20.53,20.53,20.53,20.53,20.53,0,-0.05129390018484281,1.3548086943099238
2016-02-22,19.38,19.38,19.38,19.38,19.38,0,-0.056015586945932894,1.208563276115966
2016-02-23,20.98,20.98,20.98,20.98,20.98,0,0.08255933952528394,1.209646801328423
2016-02-24,20.72,20.72,20.72,20.72,20.72,0,-0.012392755004766554,1.1761726080544213
2016-02-25,19.11,19.11,19.11,19.11,19.11,0,-0.07770270270270263,1.17747763413177
2016-02-26,19.81,19.81,19.81,19.81,19.81,0,0.0366300366300365,1.1232855412292067
2016-02-29,20.55,20.55,20.55,20.55,20.55,0,0.03735487127713277,1.12166807104855
2016-03-01,17.7,17.7,17.7,17.7,17.7,0,-0.13868613138686137,1.1178290641197224
2016-03-02,17.09,17.09,17.09,17.09,17.09,0,-0.03446327683615813,1.1175649890768102
2016-03-03,16.7,16.7,16.7,16.7,16.7,0,-0.022820362785254567,1.0976247830213814
2016-03-04,16.86,16.86,16.86,16.86,16.86,0,0.009580838323353325,1.0982970897884337
2016-03-07,17.35,17.35,17.35,17.35,17.35,0,0.02906287069988145,1.0074261006156773
2016-03-08,18.67,18.67,18.67,18.67,18.67,0,0.0760806916426513,1.0037951482074288
2016-03-09,18.34,18.34,18.34,18.34,18.34,0,-0.017675415104445702,0.9873276220185823
